TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
model-resnet_custom_v3.pt	model-resnet_custom_v3.pt		model-resnet_custom_v3.pt	models	torch_deepdanbooru	D:\_Apps.AI.data\sd\models\torch_deepdanbooru\model-resnet_custom_v3.pt	models\torch_deepdanbooru	torch_deepdanbooru	=> LoadfromJson(filePath);		
ae.safetensors	ae.safetensors		ae.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\ae.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
anything-v4.0.vae.pt	anything-v4.0.vae.pt		anything-v4.0.vae.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\anything-v4.0.vae.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
autoencoder_fix_kl-f8-trinart_characters.ckpt	autoencoder_fix_kl-f8-trinart_characters.ckpt		autoencoder_fix_kl-f8-trinart_characters.ckpt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\autoencoder_fix_kl-f8-trinart_characters.ckpt	models\VAE	VAE	=> LoadfromJson(filePath);		
cosmos_cv8x8x8_1.0.safetensors	cosmos_cv8x8x8_1.0.safetensors		cosmos_cv8x8x8_1.0.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\cosmos_cv8x8x8_1.0.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
Counterfeit-V2.5.vae.pt	Counterfeit-V2.5.vae.pt		Counterfeit-V2.5.vae.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\Counterfeit-V2.5.vae.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
diffusion_pytorch_model.safetensors	diffusion_pytorch_model.safetensors		diffusion_pytorch_model.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\diffusion_pytorch_model.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
graupel.vae.pt	graupel.vae.pt		graupel.vae.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\graupel.vae.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
hunyuan_video_vae_bf16.safetensors	hunyuan_video_vae_bf16.safetensors		hunyuan_video_vae_bf16.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\hunyuan_video_vae_bf16.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
kl-f8-anime2.ckpt	kl-f8-anime2.ckpt		kl-f8-anime2.ckpt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\kl-f8-anime2.ckpt	models\VAE	VAE	=> LoadfromJson(filePath);		
kl-f8-anime2.vae.safetensors	kl-f8-anime2.vae.safetensors		kl-f8-anime2.vae.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\kl-f8-anime2.vae.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
NovelAI_animevae.pt	NovelAI_animevae.pt		NovelAI_animevae.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\NovelAI_animevae.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
pastel-waifu-diffusion.vae.pt	pastel-waifu-diffusion.vae.pt		pastel-waifu-diffusion.vae.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\pastel-waifu-diffusion.vae.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
pytorch_model.pt	pytorch_model.pt		pytorch_model.pt	models	VAE	D:\_Apps.AI.data\sd\models\VAE\pytorch_model.pt	models\VAE	VAE	=> LoadfromJson(filePath);		
vae-ft-ema-560000-ema-pruned.safetensors	vae-ft-ema-560000-ema-pruned.safetensors		vae-ft-ema-560000-ema-pruned.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\vae-ft-ema-560000-ema-pruned.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
vae-ft-mse-840000-ema-pruned.safetensors	vae-ft-mse-840000-ema-pruned.safetensors		vae-ft-mse-840000-ema-pruned.safetensors	models	VAE	D:\_Apps.AI.data\sd\models\VAE\vae-ft-mse-840000-ema-pruned.safetensors	models\VAE	VAE	=> LoadfromJson(filePath);		
model.pt	model.pt		model.pt	models	VAE-approx	D:\_Apps.AI.data\sd\models\VAE-approx\model.pt	models\VAE-approx	VAE-approx	=> LoadfromJson(filePath);		
vaeapprox-sdxl.pt	vaeapprox-sdxl.pt		vaeapprox-sdxl.pt	models	VAE-approx	D:\_Apps.AI.data\sd\models\VAE-approx\vaeapprox-sdxl.pt	models\VAE-approx	VAE-approx	=> LoadfromJson(filePath);		
